hhid14,pidlink,ar02b,ar07,ar09,ar15,ar15d,ar16,ar17,out_migrated,mg01c,kab_bps,prov_bps,urban_rural,amount_given,amount_received,log_amount_received,out_mig_bin,is_male,is_female,male_outmig,female_outmig,ethnic_label
0421441,042144102,2.0,3.0,37.0,1.0,1.0,2.0,3.0,0.0,,9.0,16.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0421442,042144201,1.0,1.0,32.0,1.0,20.0,2.0,7.0,0.0,,9.0,16.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0421443,042144303,3.0,3.0,24.0,1.0,1.0,2.0,4.0,0.0,,9.0,16.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0421500,042150001,1.0,1.0,53.0,1.0,1.0,14.0,7.0,0.0,,9.0,16.0,2.0,3000000.0,0.0,0.0,False,True,False,False,False,Java
0421500,042150002,2.0,3.0,42.0,1.0,1.0,2.0,7.0,0.0,,9.0,16.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0421500,042150004,13.0,3.0,36.0,1.0,1.0,2.0,7.0,0.0,,4.0,35.0,2.0,500000.0,0.0,0.0,False,False,True,False,False,Java
0421500,042150005,17.0,3.0,37.0,1.0,1.0,2.0,7.0,0.0,,1.0,16.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0421500,042150006,17.0,3.0,35.0,1.0,1.0,2.0,7.0,0.0,,9.0,16.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0421500,042150007,17.0,3.0,33.0,1.0,1.0,2.0,7.0,0.0,,1.0,16.0,2.0,0.0,0.0,0.0,False,False,True,False,False,Java
0421500,042150008,17.0,1.0,43.0,1.0,1.0,2.0,7.0,0.0,,9.0,16.0,2.0,300000.0,0.0,0.0,False,True,False,False,False,Java
0421500,042150009,17.0,1.0,42.0,1.0,1.0,2.0,7.0,0.0,,9.0,16.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0421500,042150010,17.0,1.0,43.0,1.0,1.0,2.0,7.0,0.0,4.0,4.0,35.0,2.0,200000.0,0.0,0.0,False,True,False,False,False,Java
0421500,042150011,17.0,1.0,39.0,1.0,1.0,2.0,7.0,0.0,,9.0,16.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0421500,042150012,17.0,1.0,38.0,1.0,1.0,2.0,7.0,0.0,,9.0,16.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0421500,042150013,17.0,1.0,35.0,1.0,20.0,2.0,7.0,0.0,,9.0,16.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
0421500,042150014,17.0,1.0,35.0,1.0,20.0,3.0,7.0,0.0,,8.0,16.0,2.0,100000.0,0.0,0.0,False,True,False,False,False,Java
0421500,042150026,17.0,1.0,38.0,1.0,1.0,2.0,7.0,0.0,,9.0,16.0,2.0,0.0,0.0,0.0,False,True,False,False,False,Java
